"date","022202f7-d1e6-435c-9764-3928e63e05f7","eb7fd34b-192c-437d-aa65-6ccd2b4b5cd1","1036b7f0-ddf2-43b0-8de2-964e14332004","86edcca7-3bd4-4e4c-801d-cb1a6effcf9d","795d703c-b462-434a-9754-27327e667fe8","c1cbf6e9-ad26-45f7-a238-6330a62708c4","e17a0bd8-b94c-4afc-a131-4f28a6a8b93c","109551c9-8a8b-4bb7-8899-bd3d29287ef5","5ce7562c-f4ea-4381-96d9-f37262d33ea3","933bdf75-683f-49ad-9a45-2f3b1173a0ba","42d823a9-7901-480a-910d-e52283a1d2c6","8307849d-329a-49dc-b131-3dd9aeff5f1a","d31227cc-2ea6-4dd5-b410-e3cfcd6ab8fe","7115a379-176f-4304-aae8-b1f56f0098f5","88e539f2-5310-4d87-a9d1-74f77006132f","1c40173c-e5ec-4243-8bf6-742a3e40c75d","552d7867-7586-4a15-8b33-b3304715d964","0d6892b0-644c-4c85-aee8-13ee9d2d62bb","365635c1-61e6-4a5f-ab3e-877784249180","80f54c64-da7a-435c-8c6c-e98a2e7fd2f8","5586b8a2-f1c2-4f7a-9e23-478f09ff9cf8","c621b06b-4f8f-49ac-8938-759055cf3905","da90c827-f14c-4775-89d1-aff503e1db70","5411ca7e-ba37-4a55-834e-ef24c3daedde","f267647f-b56a-4780-bcfc-919c92de6b6c","4161f28b-480d-4899-a7d8-d027f524d062","199552d7-d517-42a1-9183-245004a6afc8","84d97a78-3915-493b-ac2e-df5dad1493a1","866fcfe8-4cb3-4f08-b345-7167840b7f3e","6df7785f-1959-4ec9-9e62-1cc2a9b52867","e55ca55a-d769-4b37-b6a7-07f68daa6987","a0b96d90-58e7-4a21-ab7c-2d80ee89d803","8091366d-8285-4b59-9518-c16b0d9f4646","35efdc88-dc33-405a-8ed6-049dfd1c7cb5","68f497f2-e2e1-4282-8ad2-cefbfe20376e","cf425d7f-ea88-4365-a19d-d7d2feef8230","3918eb2d-46ca-4b58-acfb-46468bf66b45","a528c926-abb3-4335-aebb-978264bdfaaa","3c47bb19-df27-4e7b-9ce4-dde59255f146","21b39a37-f5bc-44a4-81f0-08fc04e38f25","eb672ae8-aed8-42f3-8a92-e5d49aa34e9e","60de540b-5df7-4ed9-b436-b568975d3a1f","f7cff4f2-529d-487a-abdf-fc5e299cd0e2","f260f2e9-46ba-4f47-aa22-27bfc6122d7e","08439126-3e24-44e5-932e-e11efb7295f6","ad9ad2e3-d048-4559-9cff-ea3bbbc75ae4","4d753f65-0f4b-44d2-a492-5627f3848827","a445adb0-f38b-4df5-8789-4dff33855576","8f2b7881-b5cf-427f-b615-981736863f1d","43a6de42-676f-4fbf-b55a-32e4b4f423a0","31536d1e-1eec-4354-b650-3d7d3624fdb9","983a8e54-1900-4d8a-88bb-9f3e8a70df7a","e68ca1d1-807b-4233-b129-a619d074a204","2446051f-ab36-4056-9a4e-ad7012c25ae3","1b96acfd-a6f3-4010-b50c-da5bfc13fecc","04221ecb-4b42-41b2-a4bb-c3e31d0c2527"
2025-02-07,1875.48725770454,991.902107893593,36354.4044317047,22035.2119099579,3386.1977991128,1036.7489892396,1085.69834141355,1841.08295872516,1120.58756559758,1177.36390516365,2939.86891935827,8668.35359492796,3299.03247340257,5105.46061086002,4592.77130117426,2228.73162728479,2619.7532780388,1026.44372522008,1157.46290629113,1070.87524920882,1858.73358849488,3959.40738096692,4256.09937985124,1167.14404510758,4703.85513766796,7827.82065169416,9921.27612912464,7000.15710270259,3764.21575248461,2923.41138485405,3063.153016931,3595.00453895156,7905.08130500166,3285.20663290099,6578.10568711015,6365.95648112118,6043.42940963432,1953.02862564289,1229.63422593229,1345.59944895175,1265.79979540618,2325.3359027847,3506.69162693446,3293.24805917227,6755.74831362962,1354.54993889937,4536.12046127593,4566.43873346331,4712.7106159567,5501.21564754563,6572.72435537557,1471.78249947386,1602.29835952673,1371.09697864958,1638.82436379075,10896.7338135505
2025-02-06,1878.44927996148,992.100062574235,36344.518472171,22028.1087100342,3398.28263013452,1045.92936374526,1093.13703248813,1855.32822326704,1127.25882376864,1177.99680052042,2964.4234130698,8662.48678455012,3315.22462362582,5137.34429218598,4610.01994643168,2247.18358876323,2630.90584392,1036.14061567923,1165.00175433474,1078.21237947275,1879.55069721052,3988.53618095681,4278.1568923175,1171.22281210083,4730.13768106133,7910.65341474732,10001.6425478514,7027.24959972233,3776.95577628206,2920.88254117141,3076.14618701173,3606.5217089698,7987.50057155899,3305.88168191163,6640.24347454958,6452.15556288095,6087.90961088831,1955.18492277119,1241.35577381729,1363.16436420077,1269.39458488468,2332.69497137663,3543.83279318629,3314.6544969308,6802.91210845954,1361.13359317528,4592.45429717413,4624.72531552247,4775.65017267118,5579.72520067427,6684.18319126916,1485.31066920826,1608.24672014417,1379.76772115723,1643.76721128012,10972.4127044936
2025-02-05,1878.83227563104,989.170204268089,36337.3755783901,22024.4706539586,3406.56312024166,1048.78527391621,1089.18272924513,1840.11522672516,1123.42160622251,1167.63551288127,2954.67788504878,8666.66188906845,3314.15503565932,5138.76962227018,4619.00739400266,2253.0931286713,2631.46444775704,1027.55200540368,1170.03404465906,1074.31206452405,1878.86990846523,3992.74751513315,4271.53105930208,1167.74920951091,4698.59723754765,7981.65902859048,9935.21471934751,7000.1211072122,3790.83810798576,2925.56704087403,3065.61381630208,3619.71993100225,7911.91979857117,3300.91588250906,6624.02033763607,6485.08046590919,6094.69572393815,1952.22452616298,1241.45200635303,1367.69319732368,1270.41138233799,2336.41762687738,3536.85875488616,3323.3096439525,6775.62976267823,1359.9771641171,4566.49748997876,4599.23677654574,4744.93609499526,5538.19180289146,6621.58314913042,1478.83282359755,1595.7636063712,1372.01649260611,1634.03805241345,10959.1077902888
2025-02-04,1872.61942191868,979.760114402625,36336.4425289449,22023.9855739831,3372.30416427964,1048.65867632623,1076.25161448025,1826.04328124148,1118.09670897331,1154.08255412219,2919.23232501407,8513.12230216542,3285.3030672251,5119.84820689306,4599.74100714056,2248.95969657455,2606.84762844625,1005.10112122696,1149.78400405905,1061.55749889732,1864.56340571715,3976.78392644791,4253.71691362832,1156.99951222332,4653.90638482802,7847.83149950313,9828.75204785851,6936.52052405978,3758.23008852039,2892.93605132628,3043.49707327348,3604.87798619366,7831.41087971418,3259.72399064729,6588.9860008814,6443.32911805175,6020.51623882653,1954.3570663789,1241.11577500803,1348.00483244143,1265.14638409346,2328.89401915867,3518.11787642655,3311.87574570488,6748.4033920328,1348.94452782213,4562.2294034897,4597.23406690586,4744.35275873214,5541.38703664277,6642.26209289767,1474.23295323089,1579.78064066337,1361.59857418158,1617.04419214669,10893.5571111067
2025-02-03,1879.66638089829,982.160116715027,36329.507180641,22020.4307504797,3372.07595557059,1047.43689772474,1080.00297972782,1806.44826090643,1120.1336272586,1152.10138196946,2840.59080515198,8323.90512317193,3307.97307879333,5109.02305753836,4597.63814148479,2233.29081297182,2593.68839242556,986.856439710764,1115.94110451649,1065.2576465729,1827.6196997229,3938.90854436848,4231.91044353081,1155.6598324353,4647.56576034983,7679.35903883098,9679.83897319106,6934.41809391074,3732.47660379549,2868.10338522308,3040.03452950439,3587.11074746699,7798.53780074592,3208.31886820775,6523.49665210831,6361.97000851097,5985.96592617381,1946.95384732342,1231.4618597771,1336.63665710123,1262.90743310111,2320.32769242919,3492.7655763565,3275.36082925104,6729.82049297531,1343.97379748299,4513.02037035345,4544.92141290998,4685.32876954754,5466.31966943519,6534.7952266454,1463.66388242424,1562.14376449962,1351.25970945729,1599.65550101682,10832.9911679033
2025-01-31,1885.04615532246,980.448567601152,36431.8427024985,22069.3387183838,3364.87726677893,1057.76656197865,1087.37756211264,1816.51831531723,1130.58874408297,1163.69102918068,2859.73845397995,8396.35277093941,3295.41338080875,5125.01601889954,4619.78236541284,2253.89314075389,2606.71408367347,978.004678917365,1129.71489950558,1072.53153285569,1829.33472416491,3949.19394291862,4241.48313096906,1160.54992606489,4672.57785886199,7748.40188385558,9784.29012339605,6937.37121032635,3732.01376199645,2896.67858006124,3051.34440027296,3589.94196869991,7867.54026837693,3246.30662995123,6532.01621686962,6447.08147360389,6044.56965600135,1951.7817782407,1243.61646155477,1350.70163247027,1262.97459305917,2331.11793198853,3512.95436823279,3298.76098582971,6770.16284743256,1336.1903217061,4552.58662563755,4585.7056085995,4731.23031166032,5532.12741440728,6644.62287145601,1467.98092456949,1578.30554523614,1368.44434919063,1607.072125337,10902.8360805906
2025-01-30,1884.28722521762,987.044371462566,36602.6240369707,22185.9699269399,3392.36332826291,1062.76442035015,1096.18432482984,1826.86120505398,1129.49269702364,1159.02817275292,2863.07042368573,8393.34357870403,3316.80589675647,5173.68038158385,4653.45117126057,2282.05352979492,2622.16597568527,992.419790819738,1134.51417430474,1081.21805632802,1827.56800937573,3951.85072381415,4257.69515306846,1149.53047739912,4688.72132669561,7884.90065622268,9722.52705369468,6999.97661122255,3767.9792805032,2909.81849610592,3078.06974963138,3622.7752433081,7936.58789250872,3271.89051363251,6544.00350215733,6496.77481612962,6091.66507394525,1954.448543615,1253.56469943657,1366.29156862497,1264.24751608728,2337.39678385981,3529.79835219982,3294.62355023703,6804.50173059943,1347.63594536317,4567.79035201741,4601.7876775113,4747.13542665396,5550.680967249,6659.05273134203,1473.19022848244,1584.97938957006,1372.37270929562,1616.35855250427,10970.0637643043
2025-01-29,1885.38189479739,977.397373879995,36358.2772146154,22072.6396016448,3346.26244401222,1054.52464935568,1083.12248882164,1804.73684605358,1116.50727207466,1143.60884041705,2830.60320663915,8306.79315989564,3279.99705940717,5126.75375618455,4648.34216903532,2257.61747921003,2598.11440666153,965.700801750341,1104.22289724093,1068.33455432844,1807.64233159175,3935.35868174366,4241.4221280259,1136.27902353135,4656.58058121215,7785.96340808436,9688.50248136947,6923.46221409388,3717.55922846524,2876.33908894993,3029.07319314518,3593.83561693588,7803.82788569507,3221.5462319058,6486.98306998859,6432.34852102961,6005.95142199256,1950.22386168039,1236.33521717502,1348.83500354894,1261.94434222848,2321.71936333798,3514.62978120087,3323.02025574715,6761.70442429561,1328.68084146472,4553.59871636465,4582.66372429862,4736.38310667545,5537.58177728039,6667.18416901607,1460.85816284466,1555.66785196289,1364.76967626748,1583.73262775089,10901.2266777501
2025-01-28,1884.39369815255,981.835669617932,36506.9932281113,22168.3652162144,3359.90616204822,1061.99398433952,1092.5275517005,1813.26999258037,1107.82425822855,1135.66890028252,2875.30869280878,8354.32203203483,3275.94454537045,5116.49940351891,4647.23208384429,2258.69998439003,2618.112403034,964.435604514619,1092.39546217681,1077.61120933543,1805.10300691786,3943.05178521633,4255.7090001998,1151.5428139163,4666.69076622501,7804.99237819785,9669.54358747587,6968.35801944228,3715.63055609373,2908.59329572196,3044.53349009354,3590.41786841393,7734.62127645014,3218.98783679374,6512.31011107758,6446.35266143306,6015.42995959474,1951.8885534111,1244.71048229494,1355.34543038026,1262.78581404789,2320.50959145858,3525.21459589061,3369.04603655612,6774.07345141537,1331.35406140382,4580.63592481613,4611.382901791,4765.37492473819,5580.75263869614,6730.55700075167,1464.36051542783,1558.79110662501,1370.84905471552,1587.50316976136,10942.2002198856
2025-01-27,1884.86533448752,990.277552957513,36181.1120456382,21989.2006081023,3345.59068577299,1055.75214602691,1064.28128796216,1780.0945795641,1104.42477647567,1122.59248584108,2761.43589503575,8143.86552409758,3321.5768410373,5161.83154621283,4699.08750341333,2281.92032547194,2648.43323731815,949.153299441524,1083.95340223351,1049.75059348286,1768.81391800998,3918.52487952184,4242.59413175759,1174.31618647454,4646.3380776933,7777.73563072847,9475.12175402091,7011.80704162365,3742.44112622267,2831.07210987876,3073.21216547723,3623.46462175175,7708.26898198957,3207.44778264703,6468.50992108218,6446.47462826199,6000.99096819441,1950.31221382086,1251.61984339284,1339.46993927953,1263.16016037784,2323.70400851387,3495.31307799159,3226.64058962443,6763.92567006785,1333.95138931939,4504.65699752784,4527.69676964755,4672.06931185087,5456.68141136423,6538.02291276159,1453.43984010125,1543.17123655285,1378.87822181508,1561.852157535,10882.4166116961
