id,name
022202f7-d1e6-435c-9764-3928e63e05f7-0,BX ARAM Plus Alpha Fixed Income 
eb7fd34b-192c-437d-aa65-6ccd2b4b5cd1-0,BX US Dividend Growth Titans 20
1036b7f0-ddf2-43b0-8de2-964e14332004-0,BX/AI Funds Tactical Growth
86edcca7-3bd4-4e4c-801d-cb1a6effcf9d-0,BX/AI Funds S&P 500 AI Growth
795d703c-b462-434a-9754-27327e667fe8-0,BX/OPS Quality Factor Index
c1cbf6e9-ad26-45f7-a238-6330a62708c4-0,BX/Adaptive US Growth-Value Rotation ETF
e17a0bd8-b94c-4afc-a131-4f28a6a8b93c-0,BX/Adaptive US Growth-Value Rotation 10
109551c9-8a8b-4bb7-8899-bd3d29287ef5-0,BX/Adaptive Growth-Value Rotation Strategy
5ce7562c-f4ea-4381-96d9-f37262d33ea3-0,BX AC World ex-US ex-EU
933bdf75-683f-49ad-9a45-2f3b1173a0ba-0,BX EU Large Cap Momentum 20
42d823a9-7901-480a-910d-e52283a1d2c6-0,BX/Syntax AI Index 
8307849d-329a-49dc-b131-3dd9aeff5f1a-0,BX/Syntax Cloud Compute Index
d31227cc-2ea6-4dd5-b410-e3cfcd6ab8fe-0,BX/Syntax Defensive Index
7115a379-176f-4304-aae8-b1f56f0098f5-0,BX/Syntax Market Share Leaders Index
88e539f2-5310-4d87-a9d1-74f77006132f-0,BX/Syntax Moat Index
1c40173c-e5ec-4243-8bf6-742a3e40c75d-0,BX/Syntax Inflation Beneficiaries Index
552d7867-7586-4a15-8b33-b3304715d964-0,BX/Syntax Real Asset Ecosystem Index 
0d6892b0-644c-4c85-aee8-13ee9d2d62bb-0,BX International Momentum 25 Index
365635c1-61e6-4a5f-ab3e-877784249180-0,BX International Momentum 10 Index
80f54c64-da7a-435c-8c6c-e98a2e7fd2f8-0,BX US Large Cap Momentum 10 Index
5586b8a2-f1c2-4f7a-9e23-478f09ff9cf8-0,BX/Ascent Systematic Risk-Managed
c621b06b-4f8f-49ac-8938-759055cf3905-0,BX GB Market Smart Income Index
da90c827-f14c-4775-89d1-aff503e1db70-0,BX GB Market Lite Index
5411ca7e-ba37-4a55-834e-ef24c3daedde-0,BX US Dividend Growth Titans 10
f267647f-b56a-4780-bcfc-919c92de6b6c-0,BX Fantastic Five Trend Capture
4161f28b-480d-4899-a7d8-d027f524d062-0,BX US SMID Cap Trend Capture
199552d7-d517-42a1-9183-245004a6afc8-0,BX US Large Cap Trend Capture
84d97a78-3915-493b-ac2e-df5dad1493a1-0,BX High Dividend Trend Capture
866fcfe8-4cb3-4f08-b345-7167840b7f3e-0,BX Smart Alpha US Large-Cap Multi-Factor Strategy
6df7785f-1959-4ec9-9e62-1cc2a9b52867-0,BX Smart Alpha US Tech & Innovation Strategy
e55ca55a-d769-4b37-b6a7-07f68daa6987-0,BX Smart Alpha US Large-Cap Growth Strategy
a0b96d90-58e7-4a21-ab7c-2d80ee89d803-0,BX Smart Alpha US Large-Cap Value Strategy
8091366d-8285-4b59-9518-c16b0d9f4646-0,BX/FT ValueMomentum Leaders™ Index
35efdc88-dc33-405a-8ed6-049dfd1c7cb5-0,BX/FT International Leaders Index
68f497f2-e2e1-4282-8ad2-cefbfe20376e-0,BX/FT American Leaders Index 
cf425d7f-ea88-4365-a19d-d7d2feef8230-0,BX/FT American Disciplined Small Cap Index
3918eb2d-46ca-4b58-acfb-46468bf66b45-0,BX/FT American Disciplined Mid Cap Index
a528c926-abb3-4335-aebb-978264bdfaaa-0,BX/FolioBeyond Dynamic Volatility Fixed Income Index
3c47bb19-df27-4e7b-9ce4-dde59255f146-0,BX SMID Core Equity Index
21b39a37-f5bc-44a4-81f0-08fc04e38f25-0,BX US SMID Momentum Index
eb672ae8-aed8-42f3-8a92-e5d49aa34e9e-0,BX/Thor Diversified Bond Index
60de540b-5df7-4ed9-b436-b568975d3a1f-0,BX/Thor International Equity Index
f7cff4f2-529d-487a-abdf-fc5e299cd0e2-0,BX/Thor Low Volatility SDQ Index
f260f2e9-46ba-4f47-aa22-27bfc6122d7e-0,BX/Thor Next Gen Stock Index
08439126-3e24-44e5-932e-e11efb7295f6-0,BX/Thor Sector 100 Index
ad9ad2e3-d048-4559-9cff-ea3bbbc75ae4-0,BX US Low Volatility Equity Index
4d753f65-0f4b-44d2-a492-5627f3848827-0,i1 US Mega Cap 50
a445adb0-f38b-4df5-8789-4dff33855576-0,i1 US Mega Cap 40
8f2b7881-b5cf-427f-b615-981736863f1d-0,i1 US Mega Cap 30
43a6de42-676f-4fbf-b55a-32e4b4f423a0-0,i1 US Mega Cap 20
31536d1e-1eec-4354-b650-3d7d3624fdb9-0,i1 US Mega Cap 10
983a8e54-1900-4d8a-88bb-9f3e8a70df7a-0,BX US Large Cap Core Index
e68ca1d1-807b-4233-b129-a619d074a204-0,BX US Dividend Yield Plus Momentum
2446051f-ab36-4056-9a4e-ad7012c25ae3-0,BX Dividend Growth Titans 50
1b96acfd-a6f3-4010-b50c-da5bfc13fecc-0,BX US Large Cap Momentum Index
04221ecb-4b42-41b2-a4bb-c3e31d0c2527-0,BX/Dynalogic Sector Rotation Index
